"Species","ESV","Mean_Abundance"
"MOCH","ESV_097410",3.66666666666667
"MOCH","ESV_097301",3.64102564102564
"MOCH","ESV_097352",3.64102564102564
"MOCH","ESV_097196",3.64102564102564
"MOCH","ESV_097997",3.61538461538462
"MOCH","ESV_097745",3.61538461538462
"MOCH","ESV_097314",3.58974358974359
"MOCH","ESV_097135",3.58974358974359
"MOCH","ESV_097973",3.56410256410256
"MOCH","ESV_097542",3.56410256410256
"MOCH","ESV_097369",3.56410256410256
"MOCH","ESV_097299",3.53846153846154
"MOCH","ESV_097585",3.51282051282051
"MOCH","ESV_097000",3.51282051282051
"MOCH","ESV_097106",3.51282051282051
"MOCH","ESV_097033",3.51282051282051
"MOCH","ESV_004630",3.48717948717949
"MOCH","ESV_097620",3.48717948717949
"MOCH","ESV_097127",3.48717948717949
"MOCH","ESV_097147",3.46153846153846
"MOCH","ESV_097566",3.43589743589744
"MOCH","ESV_097286",3.43589743589744
"MOCH","ESV_097726",3.41025641025641
"MOCH","ESV_097927",3.38461538461538
"MOCH","ESV_097436",3.35897435897436
"MOCH","ESV_097606",3.35897435897436
"MOCH","ESV_097237",3.35897435897436
"MOCH","ESV_097994",3.30769230769231
"MOCH","ESV_097708",3.30769230769231
"MOCH","ESV_097539",3.30769230769231
"MOCH","ESV_097386",3.28205128205128
"MOCH","ESV_097216",3.28205128205128
"MOCH","ESV_002131",3.25641025641026
"MOCH","ESV_097674",3.23076923076923
"MOCH","ESV_097523",3.20512820512821
"MOCH","ESV_097983",3.17948717948718
"MOCH","ESV_097230",3.17948717948718
"MOCH","ESV_097197",3.17948717948718
"MOCH","ESV_097103",3.17948717948718
"MOCH","ESV_097048",3.17948717948718
"MOCH","ESV_097980",3.15384615384615
"MOCH","ESV_097032",3.15384615384615
"MOCH","ESV_004339",3.15384615384615
"MOCH","ESV_097968",3.12820512820513
"MOCH","ESV_097176",3.12820512820513
"MOCH","ESV_097420",3.1025641025641
"MOCH","ESV_097439",3.1025641025641
"MOCH","ESV_041975",3.07692307692308
"MOCH","ESV_097635",3.05128205128205
"MOCH","ESV_097605",3.05128205128205
"MOCH","ESV_097727",3.02564102564103
"MOCH","ESV_097360",3.02564102564103
"MOCH","ESV_097945",3
"MOCH","ESV_097687",3
"MOCH","ESV_097713",3
"MOCH","ESV_097561",3
"MOCH","ESV_097521",3
"MOCH","ESV_097066",2.97435897435897
"MOCH","ESV_097939",2.92307692307692
"MOCH","ESV_097177",2.92307692307692
"MOCH","ESV_097754",2.8974358974359
"MOCH","ESV_097996",2.87179487179487
"MOCH","ESV_097401",2.84615384615385
"MOCH","ESV_097537",2.84615384615385
"MOCH","ESV_097234",2.82051282051282
"MOCH","ESV_042062",2.82051282051282
"MOCH","ESV_097119",2.82051282051282
"MOCH","ESV_097712",2.74358974358974
"MOCH","ESV_097294",2.74358974358974
"MOCH","ESV_097049",2.71794871794872
"MOCH","ESV_097709",2.64102564102564
"MOCH","ESV_097471",2.64102564102564
"MOCH","ESV_097841",2.61538461538462
"MOCH","ESV_097412",2.61538461538462
"MOCH","ESV_097957",2.58974358974359
"MOCH","ESV_097499",2.58974358974359
"MOCH","ESV_098000",2.56410256410256
"MOCH","ESV_097470",2.56410256410256
"MOCH","ESV_097456",2.56410256410256
"MOCH","ESV_097398",2.56410256410256
"MOCH","ESV_097178",2.56410256410256
"MOCH","ESV_097040",2.56410256410256
"MOCH","ESV_097583",2.53846153846154
"MOCH","ESV_097477",2.53846153846154
"MOCH","ESV_097035",2.53846153846154
"MOCH","ESV_097050",2.53846153846154
"MOCH","ESV_091202",2.48717948717949
"MOCH","ESV_097729",2.43589743589744
"MOCH","ESV_097649",2.43589743589744
"MOCH","ESV_097617",2.43589743589744
"MOCH","ESV_097529",2.38461538461538
"MOCH","ESV_097593",2.35897435897436
"MOCH","ESV_097778",2.33333333333333
"MOCH","ESV_097329",2.33333333333333
"MOCH","ESV_097974",2.30769230769231
"MOCH","ESV_097817",2.30769230769231
"MOCH","ESV_097030",2.30769230769231
"MOCH","ESV_097131",2.30769230769231
"MOCH","ESV_097798",2.28205128205128
"MOCH","ESV_097021",2.28205128205128
"MOCH","ESV_097308",2.28205128205128
"MOCH","ESV_002069",2.28205128205128
"MOCH","ESV_021458",2.25641025641026
"MOCH","ESV_097802",2.25641025641026
"MOCH","ESV_097382",2.25641025641026
"MOCH","ESV_097844",2.23076923076923
"MOCH","ESV_097484",2.23076923076923
"MOCH","ESV_097172",2.23076923076923
"MOCH","ESV_097130",2.20512820512821
"MOCH","ESV_097883",2.17948717948718
"MOCH","ESV_097465",2.17948717948718
"MOCH","ESV_097531",2.15384615384615
"MOCH","ESV_097295",2.15384615384615
"MOCH","ESV_097182",2.15384615384615
"MOCH","ESV_097936",2.12820512820513
"MOCH","ESV_097734",2.12820512820513
"MOCH","ESV_097832",2.1025641025641
"MOCH","ESV_097748",2.1025641025641
"MOCH","ESV_097755",2.1025641025641
"MOCH","ESV_097724",2.1025641025641
"MOCH","ESV_097424",2.1025641025641
"MOCH","ESV_097070",2.1025641025641
"MOCH","ESV_097455",2.1025641025641
"MOCH","ESV_072040",2.1025641025641
"MOCH","ESV_097365",2.1025641025641
"MOCH","ESV_097108",2.1025641025641
"MOCH","ESV_097096",2.07692307692308
"MOCH","ESV_097865",2.05128205128205
"MOCH","ESV_097695",2.05128205128205
"MOCH","ESV_001648",2.05128205128205
"MOCH","ESV_097393",2.02564102564103
"MOCH","ESV_097943",2
"MOCH","ESV_097864",2
"MOCH","ESV_097867",2
"MOCH","ESV_097753",2
"MOCH","ESV_097351",2
"MOCH","ESV_097335",1.97435897435897
"MOCH","ESV_097738",1.97435897435897
"MOCH","ESV_097760",1.97435897435897
"MOCH","ESV_097376",1.97435897435897
"MOCH","ESV_097348",1.97435897435897
